topic_id,topic_group,topic_name,classification_version,dimension_value,year,measure_type,value
GOMS_025,근로소득,산업별 월평균 근로소득,all,보건업 및 사회복지 서비스업,2008,mean_income_or_hours,175.6
GOMS_025,근로소득,산업별 월평균 근로소득,all,"예술,스포츠 및 여가관련 서비스업",2008,mean_income_or_hours,137.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,"협회 및 단체, 수리 및 기타 개인 서비스",2008,mean_income_or_hours,139.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,2008,mean_income_or_hours,60.0
GOMS_025,근로소득,산업별 월평균 근로소득,all,국제 및 외국기관,2008,mean_income_or_hours,258.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,전체,2009,mean_income_or_hours,190.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,"농업,임업 및 어업",2009,mean_income_or_hours,296.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,광업,2009,mean_income_or_hours,205.0
GOMS_025,근로소득,산업별 월평균 근로소득,all,제조업,2009,mean_income_or_hours,214.3
GOMS_025,근로소득,산업별 월평균 근로소득,all,"전기, 가스, 증기 및 수도사업",2009,mean_income_or_hours,246.7
GOMS_025,근로소득,산업별 월평균 근로소득,all,"하수·폐기물처리, 원료재생 및 환경복원업",2009,mean_income_or_hours,171.6
GOMS_025,근로소득,산업별 월평균 근로소득,all,건설업,2009,mean_income_or_hours,219.2
GOMS_025,근로소득,산업별 월평균 근로소득,all,도매 및 소매업,2009,mean_income_or_hours,194.9
GOMS_025,근로소득,산업별 월평균 근로소득,all,운수업,2009,mean_income_or_hours,212.9
GOMS_025,근로소득,산업별 월평균 근로소득,all,숙박 및 음식점업,2009,mean_income_or_hours,169.0
GOMS_025,근로소득,산업별 월평균 근로소득,all,"출판, 영상, 방송통신 및 정보서비스업",2009,mean_income_or_hours,187.0
GOMS_025,근로소득,산업별 월평균 근로소득,all,금융 및 보험업,2009,mean_income_or_hours,251.2
GOMS_025,근로소득,산업별 월평균 근로소득,all,부동산업 및 임대업,2009,mean_income_or_hours,196.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,"전문, 과학 및 기술 서비스업",2009,mean_income_or_hours,195.2
GOMS_025,근로소득,산업별 월평균 근로소득,all,사업시설관리 및 사업지원 서비스업,2009,mean_income_or_hours,158.4
GOMS_025,근로소득,산업별 월평균 근로소득,all,"공공행정, 국방 및 사회보장 행정",2009,mean_income_or_hours,187.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,교육 서비스업,2009,mean_income_or_hours,157.5
GOMS_025,근로소득,산업별 월평균 근로소득,all,보건업 및 사회복지 서비스업,2009,mean_income_or_hours,168.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,"예술,스포츠 및 여가관련 서비스업",2009,mean_income_or_hours,157.3
GOMS_025,근로소득,산업별 월평균 근로소득,all,"협회 및 단체, 수리 및 기타 개인 서비스",2009,mean_income_or_hours,159.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,2009,mean_income_or_hours,0.0
GOMS_025,근로소득,산업별 월평균 근로소득,all,국제 및 외국기관,2009,mean_income_or_hours,157.5
GOMS_025,근로소득,산업별 월평균 근로소득,all,전체,2010,mean_income_or_hours,198.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,"농업,임업 및 어업",2010,mean_income_or_hours,323.4
GOMS_025,근로소득,산업별 월평균 근로소득,all,광업,2010,mean_income_or_hours,235.5
GOMS_025,근로소득,산업별 월평균 근로소득,all,제조업,2010,mean_income_or_hours,234.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,"전기, 가스, 증기 및 수도사업",2010,mean_income_or_hours,230.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,"하수·폐기물처리, 원료재생 및 환경복원업",2010,mean_income_or_hours,189.2
GOMS_025,근로소득,산업별 월평균 근로소득,all,건설업,2010,mean_income_or_hours,247.7
GOMS_025,근로소득,산업별 월평균 근로소득,all,도매 및 소매업,2010,mean_income_or_hours,219.1
